MOF_name,D_lc-S-3-all,D_lc-T-1-all,D_mc-S-1-all,Density-mcs,Df,Di,KHW,LCD-mcs,PLD-mcs,VF-mcs,VPOV,f-lig-I-0,f-lig-I-3,func-I-0-all,func-I-1-all,mc-I-3-all,mc-Z-0-all,mc-chi-2-all,mc-chi-3-all,unit_cell_volume,Wselectivity,Wup20cm3,Wup80cm3,water_stability_prob
WASTUG,0.040336134,-0.243697479,3.825,1.594,7.25807,10.4656,1000000.0,10.47,7.26,0.63,0.5873,13.66666667,44.0,0.294117647,0.470588235,18.25,2135.25,21.042675,115.700525,5415.92,691000000000.0,755.8619597,862.3643499,0.970601684222299
BAWRUO,0.39,-3.0,4.365,2.719,5.68671,7.29901,46.385,7.3,5.69,0.53,0.4468,11.0,36.0,1.0,4.0,13.0,8464.0,13.5999,56.8008,3585.95,17200000.0,674.7288905,705.3977251,0.9795098356699616
GIFFAE,-0.033333333,-1.666666667,5.9,1.855,3.25577,5.12876,22800000.0,5.13,3.26,0.48,0.4155,11.0,26.0,1.0,2.0,10.0,3844.0,25.0146,35.1468,2179.56,3270000000000.0,665.8010718,701.1933274,0.9793545841433736
NIGGAM,0.14,-0.5,7.2,1.222,4.62938,7.37601,15300000.0,7.44,4.64,0.72,0.6075,18.0,66.0,0.0,0.0,8.0,4761.0,12.75,27.725,1999.49,1990000000000.0,665.5848655,742.1050759,0.9347730562075001
NIGFUF,0.14,-0.5,7.36,1.23,4.63983,7.44488,2550000000.0,7.46,4.63,0.72,0.6153,18.0,66.0,0.0,0.0,8.0,4489.0,12.546,27.2814,2022.19,283000000000000.0,660.01128,746.9251909,0.9359487535633548
NIGGEQ,0.14,-0.5,7.68,1.249,4.59835,7.3331,1280000000.0,7.38,4.63,0.71,0.6058,18.0,66.0,0.0,0.0,8.0,4900.0,11.22,24.398,1983.48,166000000000000.0,658.2760903,736.0663444,0.9347730562075001
OXUPUT,-0.08,-3.0,3.88,1.932,8.39643,9.06209,3.18e+16,9.06,8.4,0.5,0.4014,16.0,50.0,1.0,2.5,12.0,8464.0,12.0888,52.0536,3231.81,1.94e+21,605.6312651,646.3989844,0.9051740895722488
IKETEY,0.087777778,-2.0,6.89,1.616,4.2638,5.5138,39100000.0,5.51,4.26,0.48,0.4318,11.33333333,30.66666667,0.333333333,0.333333333,9.0,3844.0,23.868,29.1564,740.915,5970000000000.0,597.6467412,623.3385383,0.9821954763379784
IKEVAW,0.087777778,-2.0,6.54,1.713,4.19271,5.40684,46300000.0,5.41,4.19,0.48,0.4225,11.33333333,30.66666667,0.333333333,0.333333333,9.0,4356.0,24.888,30.4024,722.361,6700000000000.0,593.1240434,624.1635227,0.9755498798623761
IKETAU,0.087777778,-2.0,7.03,1.551,4.335,5.60593,291096.0,5.61,4.34,0.49,0.4378,11.33333333,30.66666667,0.333333333,0.333333333,9.0,3600.0,23.256,28.4088,758.846,45900000000.0,588.605515,624.0097385,0.9833100934952281
NIBXUT,0.1175,-2.55,5.76,1.939,5.18074,6.21117,4.6e+16,6.21,5.18,0.44,0.3687,10.0,30.0,1.0,2.25,11.33333333,4096.0,21.016,40.664,3712.92,3.92e+21,584.9120785,632.2687024,0.9438084441410156
SEHSOO,0.14,-0.5,7.36,1.357,4.61822,5.47299,3863.09,5.47,4.62,0.65,0.5622,18.0,66.0,0.0,0.0,8.0,4489.0,12.546,27.2814,1821.09,475000000.0,578.1460429,702.9415894,0.9359487535633548
IKETOI,0.087777778,-2.0,6.68,1.662,4.23311,5.47175,48000000.0,5.47,4.23,0.48,0.429,11.33333333,30.66666667,0.333333333,0.333333333,9.0,4096.0,24.48,29.904,734.118,7740000000000.0,577.3618336,617.4399923,0.984061285832741
AFUPEX,0.14,-0.5,7.2,1.386,4.58891,5.43312,1088.81,5.43,4.59,0.64,0.5494,18.0,66.0,0.0,0.0,8.0,4761.0,12.75,27.725,1801.62,136000000.0,572.4535137,698.4811506,0.9347730562075001
XECJUK,0.17,-2.0,5.56,1.469,4.15044,4.90168,8590000.0,4.9,4.15,0.33,0.2931,14.0,42.0,1.0,1.0,12.0,1444.0,17.86,32.718,573.706,765000000000.0,570.418137,585.424349,0.9613322854563109
OVIWIA,0.282,-1.3,4.233333333,2.668,3.71228,4.70586,194000000000.0,4.71,3.71,0.42,0.3729,10.0,30.0,0.5,2.0,12.0,5885.666667,36.72813333,53.7324,1046.73,3.31e+16,565.6914471,591.8496909,0.9596015984801155
YISFEL,0.0,-2.0,5.72,1.768,4.2377,5.46375,48918.4,5.46,4.24,0.3,0.2816,6.0,8.0,0.0,0.0,10.0,1243.0,17.44833333,39.45983333,944.297,24600000000.0,563.3669223,600.0490954,0.9528654960810307
NOCLUN,-0.08,-2.0,2.32,1.074,3.71651,4.52799,47.4755,6.27,5.77,0.59,0.2939,28.0,110.0,0.0,0.0,8.0,900.0,16.83,39.534,3733.82,6170000.0,558.1511399,612.5516338,0.9302543518660946
MIYGIL,0.042857143,-2.0,4.795,2.609,3.43471,3.8316,42300000000000.0,3.31,2.63,0.2,0.1248,10.66666667,30.66666667,0.0,0.0,15.5,2045.0,25.4225,70.7065,1780.64,1.08e+20,549.2236873,562.8244274,0.9279089856804965
DUQCAU,0.0,-2.0,7.21,2.203,2.43363,4.78062,6910000.0,4.78,2.43,0.28,0.2934,6.0,8.0,0.0,0.0,11.0,3481.0,21.4474,41.7535,824.949,2340000000000.0,542.9959382,543.2037287,0.931931227784233
DUQCAU01,0.0,-2.0,7.21,2.198,2.42556,4.76205,158000000.0,4.76,2.43,0.28,0.2939,6.0,8.0,0.0,0.0,11.0,3481.0,21.4474,41.7535,822.953,52800000000000.0,541.9375362,541.9574629,0.931931227784233
HAWWIN,-0.248888889,-1.333333333,8.04,1.037,6.00048,6.94632,10600000.0,6.95,6.0,0.68,0.6149,13.0,38.0,1.0,2.0,12.0,3600.0,15.8346,39.9912,5118.97,1950000000000.0,537.5236287,734.5995472,0.9873661703783798
CAKYAQ,0.082666667,-2.0,6.54,2.048,2.78322,4.08997,466000000000000.0,4.09,2.78,0.27,0.23,11.33333333,30.66666667,0.666666667,0.666666667,12.0,4356.0,27.999,43.1026,1208.4,1.22e+20,533.9491057,543.1943644,0.9620945284035571
EBEXEQ01,-0.08,-2.0,6.72,1.611,6.70514,7.05454,367.777,7.05,6.71,0.59,0.4695,18.0,66.0,0.0,0.0,18.0,4096.0,21.24,67.896,1495.68,52400000.0,533.0723194,575.3655076,0.9597039295063605
AMALND,-0.04,-2.0,6.06,1.876,2.65794,3.72992,172000000000000.0,3.73,2.66,0.25,0.2001,7.0,8.0,0.5,0.5,11.0,3600.0,15.8346,39.0792,2083.98,2.78e+19,530.5873586,539.6888769,0.9281287816662417
CAKXOD,0.082666667,-2.0,6.68,2.006,2.79775,4.11875,18700000000000.0,4.12,2.8,0.27,0.2324,11.33333333,30.66666667,0.666666667,0.666666667,12.0,4096.0,27.54,42.396,1216.1,4.61e+18,528.4917111,539.249373,0.9754467367387649
CAKYEU,0.082666667,-2.0,6.47,2.075,2.75795,4.05316,6850000000.0,4.05,2.76,0.27,0.227,11.33333333,30.66666667,0.666666667,0.666666667,12.0,4489.0,28.2285,43.4559,1200.29,1880000000000000.0,526.2101999,541.1874997,0.9674869527184055
EBEXEQ,-0.08,-2.0,6.72,1.618,6.73356,7.07406,4.55206,7.07,6.73,0.59,0.472,18.0,66.0,0.0,0.0,18.0,4096.0,21.24,67.896,1502.62,646000.0,525.4434703,578.7224936,0.9535033158434106
HAWWOT,-0.281333333,-1.6,7.05,1.018,6.39517,7.05521,32992.4,7.06,6.39,0.69,0.6177,13.0,38.0,1.0,2.0,10.5,3600.0,15.1848,35.1063,5214.2,6180000000.0,523.0969001,743.7240423,0.9818226587483211
CAKXET,0.082666667,-2.0,6.89,1.944,2.82776,4.14523,7960000000000.0,4.15,2.83,0.27,0.2393,11.33333333,30.66666667,0.666666667,0.666666667,12.0,3844.0,26.8515,41.3361,1231.57,1.99e+18,521.5624404,532.4574621,0.9726005733462573
ECUDAI,0.68,-2.0,7.07,1.473,3.08033,4.88875,1140000000000.0,4.89,3.08,0.4,0.3497,27.0,114.0,1.0,1.0,9.0,3600.0,15.8346,30.2214,886.942,7.61e+16,519.8958218,532.0850746,0.9955762509652006
CODFEH,0.213333333,-2.0,6.06,1.489,3.79198,4.3292,129999.0,3.79,3.49,0.24,0.3197,8.666666667,18.66666667,0.0,0.0,10.0,3600.0,17.442,35.1576,1044.08,61800000000.0,515.7537164,522.201969,0.9598510748102086
GAMTAQ,0.68,-2.0,6.72,1.417,3.15514,4.9696,61100000000.0,4.97,3.15,0.42,0.3593,27.0,114.0,1.0,1.0,9.0,3249.0,15.235,29.161,909.477,3850000000000000.0,514.6756483,525.3507016,0.9834458986190092
LOBHAM,0.14,-1.5,2.826666667,1.018,5.91491,7.0104,0.376161,7.01,5.91,0.58,0.4911,19.0,70.0,1.0,2.0,16.0,784.0,54.2822,87.8218,3115.81,44000.0,512.5172524,556.4693844,0.9630700480847606
GAMTEU,0.68,-2.0,6.3,1.423,3.20315,4.96917,104000000000.0,4.97,3.2,0.41,0.3685,27.0,114.0,1.0,1.0,9.0,3364.0,15.5344,29.6912,908.369,7230000000000000.0,511.9616294,528.0621913,0.9852039148700383
FEDBEX,0.144444444,-2.0,6.31,1.567,5.03901,5.54956,115984.0,5.55,5.04,0.45,0.3766,14.0,42.0,0.666666667,0.666666667,11.0,4761.0,28.6875,35.975,885.788,41700000000.0,511.7597681,602.1944147,0.9680527678940216
GAMTIY,0.68,-2.0,7.21,1.44,3.13094,4.94228,2120000000.0,4.94,3.13,0.4,0.3595,27.0,114.0,1.0,1.0,9.0,3481.0,15.6844,29.9563,899.591,152000000000000.0,508.2225371,523.3248057,0.985537658917464
FUTZOK,0.7,-2.0,6.72,1.635,4.28777,4.72075,151000000.0,4.72,4.29,0.43,0.3922,45.0,186.0,1.0,2.5,10.0,4096.0,16.74,35.94,1589.85,21300000000000.0,503.5586802,542.415598,0.974096027057131
HAWWUZ,-0.248888889,-1.333333333,8.04,1.028,6.20916,6.85987,29311.8,6.86,6.21,0.68,0.6091,13.0,38.0,1.0,2.0,12.0,3600.0,15.8346,39.9912,5163.63,5500000000.0,498.1297924,747.6193279,0.9873661703783798
ECUDEM,0.566666667,-1.166666667,7.88,1.51,3.12705,4.87095,24400000000.0,4.87,3.13,0.41,0.3514,27.0,114.0,1.0,1.0,11.0,3844.0,16.2864,36.1647,878.807,1580000000000000.0,491.4563544,514.1648064,0.979257431322159
CELZEA,-0.053333333,-1.333333333,3.18,1.63,2.63187,5.88328,27.9562,5.33,4.52,0.49,0.2,14.0,38.0,0.666666667,1.333333333,14.0,169.0,21.6062,71.806,2411.43,4870000.0,484.9921887,517.3557488,0.9407874685058638
qmof-2d6d0e3,0.222222222,-2.0,6.33,1.017686201,5.18639,7.23674,0.0159192,7.2368,5.1863,0.597666,0.501,24.0,92.0,0.666666667,0.666666667,13.0,1989.0,37.179,53.371,6033.3,3220.0,476.8778044,576.587223,0.9809971439979476
SADLEQ,-0.08,-2.0,6.06,1.505,6.8054,7.11187,571.726,7.11,6.81,0.6,0.4856,18.0,66.0,0.0,0.0,12.0,3600.0,17.442,40.9716,1550.64,81800000.0,474.0117019,595.2735174,0.9065266846536645
DOQHOH,0.213,-2.45,6.93,2.442,3.07044,3.49564,2330000.0,3.5,3.07,0.23,0.1853,9.333333333,26.66666667,0.75,2.25,12.0,3844.0,22.6161,43.3017,947.514,733000000000.0,471.0412496,471.3717008,0.9469014173087081
YUJNOH,-0.004,-1.2,6.66,1.775,3.46455,5.27805,0.919634,5.28,3.46,0.28,0.2448,8.0,12.0,1.0,2.0,11.0,1444.0,24.567,32.8225,1494.0,256000.0,468.7539724,495.2144487,0.9161518264253284
QALNIA,-0.04,-2.0,6.72,1.543,2.83449,3.89192,18.164,3.89,2.83,0.33,0.2838,10.0,24.0,0.0,0.0,8.0,1444.0,14.535,22.762,997.252,6990000.0,467.9288778,534.0066551,0.9324809506685025
AQMAND01,-0.04,-2.0,6.06,2.082,2.85934,3.37167,5410000000000000.0,3.37,2.86,0.13,0.0783,7.0,8.0,0.666666667,0.666666667,11.0,3600.0,15.8346,39.0792,949.28,4.67e+21,467.8921008,470.1069883,0.9411702091133475
AQMAND,0.56,-2.0,6.06,2.059,2.87498,3.38527,15700000000000.0,3.39,2.87,0.15,0.0967,8.666666667,21.33333333,0.666666667,0.666666667,11.0,3600.0,15.8346,39.0792,946.695,1.85e+19,466.0843783,468.0325761,0.9032283858435616
DOQHIB,0.213,-2.45,7.07,2.371,3.11145,3.51583,4140000.0,3.52,3.11,0.23,0.1948,9.333333333,26.66666667,0.75,2.25,12.0,3600.0,22.0362,42.1914,958.632,1330000000000.0,465.5704724,465.9046943,0.9495504078870557
ETEJOD01,-0.066666667,-1.333333333,8.04,1.101,4.96877,6.6678,18800000.0,6.67,4.97,0.68,0.5908,16.66666667,58.0,1.0,1.666666667,12.0,3600.0,15.8346,39.957,1316.45,2280000000000.0,465.1370538,708.3611809,0.9267652951738861
CAKYIY,0.082666667,-2.0,6.4,2.103,2.74274,4.02936,17.4325,4.03,2.74,0.27,0.2248,11.33333333,30.66666667,0.666666667,0.666666667,12.0,4624.0,28.458,43.8092,1192.02,7800000.0,464.6788462,487.493604,0.9599011211633458
qmof-b6395f5,0.222222222,-2.0,6.68,1.035950226,5.12705,7.07729,0.0238855,7.07718,5.12725,0.590687,0.4942,24.0,92.0,0.666666667,0.666666667,13.0,2105.0,37.4085,53.7037,5939.77,4720.0,458.8912843,567.1182608,0.977794011611911
DAWWIJ,0.185714286,-2.0,3.04,1.46,2.7932,4.1516,32.2034,4.15,2.79,0.34,0.2322,21.0,68.0,1.0,2.5,10.66666667,625.0,26.35,47.14066667,2880.12,7950000.0,454.9709728,473.418296,0.9249708730575296
ZAVPIX,0.045714286,-1.142857143,7.16,1.283,4.4368,5.34471,8640000.0,5.35,4.44,0.51,0.4306,31.0,124.0,1.0,1.75,12.0,3364.0,15.5344,39.256,2508.17,1080000000000.0,449.5168594,523.5598339,0.948703559142604
DUXKUD,0.7,-2.0,3.88,1.238,6.9017,7.67321,0.0636461,7.67,6.9,0.49,0.4261,60.0,336.0,1.0,2.25,8.0,8464.0,14.076,33.0648,1792.79,13400.0,445.3696832,553.667926,0.9691237075467822
ABEXUC,0.082814815,-2.0,7.535,1.848,4.0168,4.74458,24500000000.0,4.74,4.02,0.34,0.28,11.33333333,30.66666667,0.333333333,0.333333333,13.0,3600.0,27.6165,43.6905,2546.99,6280000000000000.0,443.5073776,466.579752,0.983312688289857
ABEYAJ,0.082814815,-2.0,7.385,1.906,3.9715,4.73097,20900000000000.0,4.73,3.97,0.34,0.2804,11.33333333,30.66666667,0.333333333,0.333333333,13.0,3844.0,28.34325,44.84025,2511.78,5.48e+18,443.445087,467.9242079,0.9821982412858934
MEFYUT,-0.12,-2.0,2.03,1.192,4.33422,5.77585,0.581981,5.78,4.33,0.58,0.4979,34.0,240.0,1.0,1.0,7.0,900.0,14.72625,34.59225,2446.14,61100.0,438.0379295,526.3093694,0.90497859898199
ABEXIQ,0.082814815,-2.0,6.71,1.788,4.06893,4.80529,129000000000000.0,4.81,4.08,0.34,0.2904,11.33333333,30.66666667,0.333333333,0.333333333,13.0,3364.0,27.132,42.924,2602.59,3.19e+19,437.1532209,457.5647479,0.9543729920435311
MOTMAK,1.42,-2.0,2.52,0.997,2.89449,10.21005,3416.92,5.72,5.33,0.56,0.4326,45.0,184.0,1.0,3.2,16.0,841.0,38.76,78.584,4110.15,147000000.0,432.7968779,469.9897258,0.9500244953854212
